year,Spear_3,Stiletto_3,Amery_3,Eradu_3,Halberd_3,Carnamah_4,Calingiri_4,Westonia_4,Wyal_4,Yitpi_4,Mace_5,cluster3,cluster4,cluster5
1984,0,0,0,1.54,27.53,0,0,0,0,0,0,0.333333333,0,0
1985,0.02,0,0,7.51,23.64,0,0,0,0,0,0,0.333333333,0,0
1986,0.45,0,0,10.77,23.43,0,0,0,0,0,0,0.333333333,0,0
1987,2.19,0,0,11.96,24.02,0,0,0,0,0,0,0.333333333,0,0
1988,5.36,0,0,12.6,22.31,0,0,0,0,0,0,0.333333333,0,0
1989,9.74,0,0,12.58,21.3,0,0,0,0,0,0,0.333333333,0,0
1990,16.17,0,0,12.12,18.87,0,0,0,0,0,0,0.333333333,0,0
1991,18.6,0,0,11.26,14.94,0,0,0,0,0,0,0.333333333,0,0
1992,25.12,0,0,12.77,14.82,0,0,0,0,0,0,0.333333333,0,0
1993,25.3,0,0,12.84,14.43,0,0,0,0,0,0,0.333333333,0,0
1994,17.86,0.66,0.28,11.82,13.54,0,0,0,0,0,0,0.333333333,0,0
1995,16.33,5.35,4.89,11.66,11.79,0,0,0,0,0,0,0.333333333,0,0
1996,12.95,8.01,11.99,11.59,11.29,0,0,0,0,0,0,0.333333333,0,0
1997,12.56,10.3,12.54,10.82,10.09,0.23,0,0,0,0,0,0.333333333,0,0
1998,11.57,10.58,10.23,9.48,7.49,5.21,0.19,0.49,0,0,0,0.333333333,0,0
1999,7.96,8.69,5.79,5.61,5.01,7.72,3.06,10.27,0,0,0,0.333333333,0,0
2000,4.36,5.57,1.01,3.62,4.4,18.47,6.68,18.57,0,0,0,0.333333333,0,0
2001,2.87,4.15,0.68,2.61,2.32,24.95,13.9,17.13,0,0.21,0,0.333333333,0,0
2002,1.83,3.36,0.45,1.76,1.83,25.16,18.42,19.22,0.27,0.62,0,0.042553191,0.29787234,0
2003,1.85,3.34,0.22,1.32,2.37,26.81,22.88,10.13,5.24,1.85,0,0.042553191,0.29787234,0
2004,0.95,2.75,0.01,0.01,0.92,18.85,21.45,8.07,21.48,3.26,0,0.042553191,0.29787234,0
2005,0.86,2.92,0,0.62,1.26,12.89,17.42,4.99,28.1,4.98,0,0.042553191,0.29787234,0
2006,0.72,3.17,0,0.3,1.29,7.75,14.73,5.45,29.64,7.17,0,0.042553191,0.29787234,0
2007,0.76,3.01,0,0.26,1.07,7.92,13.88,4.92,30.86,8.49,0,0.042553191,0.29787234,0
2010,1.1,5.1,0,0.1,0.6,5,5.6,3.8,29.7,10.7,4.6,0.042553191,0.29787234,0
2011,1,4.4,0,0.1,0.6,3.6,8.5,3.2,22.7,9.8,18,0.042553191,0.29787234,0
2012,0.7,2.9,0,0.1,0.4,1.9,8.6,2.6,14.5,7,41.4,0.042553191,0.29787234,0
2013,0.5,2.2,0,0.1,0.5,1.3,9.5,1.5,7.7,6.3,53.4,0.042553191,0.29787234,0
2014,0.6,1.7,0,0.1,0.4,0.8,10.8,0.9,5,4.9,59.1,0,0,0.10989011
2015,0.4,1,0,0.1,0.2,0.6,8.1,0.8,3.3,3.4,66.7,0,0,0.10989011
2016,0.3,0.7,0,0.1,0.2,0.6,8.2,0.5,2.4,3.1,66.3,0,0,0.10989011