year,Min_Temperature,Max_Temperature,Avearge_Rainfall
1972,7.6,20.33333333,46.36666667
1973,7.766666667,18.91666667,75.31666667
1974,7.266666667,19.3,74.1
1975,5.95,19.5,55.88333333
1976,7.083333333,20.36666667,48.05
1977,6.816666667,20.21666667,48.66666667
1978,6.133333333,19.15,47.66666667
1980,7.366666667,19.76666667,42.06666667
1981,8.25,19.46666667,70.45
1982,6.9,19.95,47.55
1983,8,21.43333333,72.93333333
1984,6.7,19.81666667,44.36666667
1985,6.816666667,20.88333333,41.56666667
1986,6.066666667,17.4,53.56666667
1987,7.6,20.4,51.56666667
1988,8.25,20.1,53.78333333
1990,6.533333333,19.61666667,47.41666667
1991,8.15,20.55,59.8
1992,7.7,19.7,54.08333333
1993,6.966666667,19.38333333,46.8
1994,7.366666667,21.68333333,46.6
1995,7.3,20.15,79.66666667
1996,6.933333333,20.16666667,67.81666667
1997,5.966666667,19.81666667,44.6
1998,7.016666667,19.81666667,49.5
1999,6.7,19.75,73.5
2000,6.333333333,20.51666667,43.7
2001,5.616666667,20.15,45.86666667
2002,6.533333333,20.78333333,38.98333333
2003,6.183333333,19.78333333,55.78333333
2004,5.816666667,19.73333333,51.95
2005,6.316666667,19.6,59.88333333
2006,6.1,21.55,34.81666667
2007,6.7,20.63333333,53.03333333
2008,6.033333333,20.5,47.2
2009,6.566666667,20.23333333,51.01666667
2010,4.85,20.85,29.01666667
2011,7.55,20.48333333,64.23333333
2012,6.4,21.26666667,35.38333333
2013,7.1,20.55,50.86666667
2014,7.733333333,21,57.53333333
2015,6.983333333,21.5,37.91666667
2016,5.4,18.66666667,45.32
2017,6.916666667,20.75,39.56666667